"","Title","Date.début.de.validité","Date.fin.de.validité","Document"
"1","Enquêtes mensuelles de branche exécutées par l'administration","2014-01-01","2018-12-31","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2014_insee_branche_industrie_-hors_iaa-3-2.pdf"
"2","Enquêtes annuelles de branche exécutées par l'administration (IAA)","2014-01-01","2018-12-31","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2014_ssp_branche_iaa_annuelle-3-2.pdf"
"3","Enquêtes mensuelles de branche exécutées par l'administration (IAA)","2014-01-01","2018-12-31","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2014_ssp_branche_iaa_mensuelle-3-2.pdf"
"4","Enquêtes annuelles de branche exécutées par l'administration (industries agricoles et alimentaires)","2009-01-01","2013-12-31","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2008_ssp_branche_iaa_annuelle.pdf"
"5","Enquêtes mensuelles de branche exécutées par l'administration (Industries agricoles et alimentaires)","2009-01-01","2013-12-14","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2008_ssp_branche_iaa_mensuelle.pdf"
"6","Enquêtes trimestrielles de branche exécutées par l'administration (Industries agricoles et alimentaires)","2009-01-01","2013-12-31","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2008_ssp_branche_iaa.pdf"
"7","Enquêtes mensuelles de branche exécutées par l'administration","2014-01-01","2018-12-31","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2014_insee_branche_industrie_-hors_iaa.pdf"
"8","Enquêtes annuelles de branche exécutées par l'administration (IAA)","2014-01-01","2018-12-31","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2014_ssp_branche_iaa_annuelle.pdf"
"9","Enquêtes mensuelles de branche exécutées par l'administration (IAA)","2014-01-01","2018-12-31","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2014_ssp_branche_iaa_mensuelle.pdf"
"10","Enquêtes mensuelles de branche exécutées par l'administration","2014-01-01","2018-12-31","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2014_insee_branche_industrie_-hors_iaa-3.pdf"
"11","Enquêtes annuelles de branche exécutées par l'administration (IAA)","2014-01-01","2018-12-31","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2014_ssp_branche_iaa_annuelle-3.pdf"
"12","Enquêtes mensuelles de branche exécutées par l'administration (IAA)","2014-01-01","2018-12-31","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2014_ssp_branche_iaa_mensuelle-3.pdf"
