"","parutionJO","titre","annee","intitule","statutEnquete","numeroVISA","nouvelleEdition","initiative","contenuQuestionnaire","uniteStatistique","typeEnquete","champGeographique","extensionsGeographiques","periodicite","tailleEchantillon","serviceProducteurPrincipal","servicesProducteurs","dateCommissionAC","dateDebutAC","dateFinAC","commissionLabel","documentLabel","dateCommissionAO","dateDebutAO","dateFinAO","commissionCNIS"
"1","2019-10-24","Activité dans le bâtiment et les travaux publics (EMBTP) (Enquête mensuelle sur l’) (2020M046EQ)",2020," Enquête mensuelle sur l’activité dans le bâtiment et les travaux publics (EMBTP)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2020M046EQ","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen","Entreprise",NA,"France entière","Le champ de l’enquête est étendu aux départements-régions d’outre-mer (DROM).

La stratification effectuée permet déjà la déclinaison régionale de la plupart des résultats pour l’activité dans le bâtiment.

&nbsp;","Mensuelle","9600","SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)","SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)","2016-06-15","2017-01-01","2020-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2020/01/AC_2016_SOeS_EMBTP.pdf","2015-04-01","2016-01-01","2020-12-31","entreprises-et-strategies-de-marche"
"2",NA,"Activité dans le bâtiment et les travaux publics (EMBTP) (Enquête mensuelle sur l’) (2021M004EQ)",2021," Enquête mensuelle sur l’activité dans le bâtiment et les travaux publics (EMBTP)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2021M004EQ","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen","Entreprise",NA,"France entière","Le champ de l’enquête est étendu aux départements-régions d’outre-mer (DROM).

La stratification effectuée permet déjà la déclinaison régionale de la plupart des résultats pour l’activité dans le bâtiment.

&nbsp;","Mensuelle","9600","SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)","SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)","2016-06-15","2017-01-01","2021-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2020/08/AC_2016_Soes_EMBTP_rectif.pdf","2019-10-11","2020-01-01","2024-12-31","entreprises-et-strategies-de-marche"
"3","2021-11-13","Activité dans le bâtiment et les travaux publics (EMBTP) (Enquête mensuelle sur l’) (2022M047EQ)",2022," Enquête mensuelle sur l’activité dans le bâtiment et les travaux publics (EMBTP)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2022M047EQ","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen","Entreprise",NA,"France entière","Le champ de l’enquête est étendu aux départements-régions d’outre-mer (DROM).

La stratification effectuée permet déjà la déclinaison régionale de la plupart des résultats pour l’activité dans le bâtiment.

&nbsp;","Mensuelle","9600","SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)","SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)",NA,NA,NA,NA,NA,"2019-10-11","2020-01-01","2024-12-31",NA
"4","2013-03-31","Acemo - Enquête annuelle sur les petites entreprises (2013A069TV)",2013,"Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013A069TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen",NA,"Répétitive","France métropolitaine",NA,"Annuelle","60000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2012-12-19","2013-01-01","2017-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2013_dares_acemo_tpe.pdf","2012-03-26","2012-03-26","2017-12-31","emploi-qualification-et-revenus-du-travail"
"5","2013-10-16","Acemo - Enquête annuelle sur les petites entreprises (2014A029TV)",2014,"Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2014A029TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen",NA,"Répétitive","France métropolitaine",NA,"Annuelle","60000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2012-12-19","2013-01-01","2017-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2013_dares_acemo_tpe.pdf","2012-03-26","2012-03-26","2017-12-31","emploi-qualification-et-revenus-du-travail"
"6","2014-10-30","Acemo - Enquête annuelle sur les petites entreprises (2015A037TV)",2015,"Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2015A037TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen",NA,"Répétitive","France métropolitaine",NA,"Annuelle","60000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2012-12-19","2012-12-19","2017-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2013_dares_acemo_tpe-1.pdf","2012-03-26","2012-03-26","2017-12-31","emploi-qualification-et-revenus-du-travail"
"7",NA,"Acemo - Enquête annuelle sur les petites entreprises (2016A038TV)",2016,"Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2016A038TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen",NA,"Répétitive","France métropolitaine",NA,"Annuelle","60000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2012-12-19","2012-12-19","2017-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/11/AC_2013_dares_acemo_tpe-1-2.pdf","2012-03-26","2012-03-26","2017-12-31","emploi-qualification-et-revenus-du-travail"
"8","2016-10-06","Acemo - Enquête annuelle sur les petites entreprises (2017A067TV)",2017,"Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2017A067TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Servant à répondre à un règlement européen","Entreprise","Répétitive","France métropolitaine",NA,"Annuelle","60000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2012-12-19","2012-12-19","2017-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2013_dares_acemo_tpe-1.pdf","2012-03-26","2012-03-26","2017-12-31","emploi-qualification-et-revenus-du-travail"
"9","2017-10-02","Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises (TPE) (2018A039TV)",2018,"Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises (TPE)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2018A039TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Partiellement défini par un règlement européen","Entreprise","Répétitive","L’enquête couvre les entreprises situées en France métropolitaine. A compter de 2018, elle couvrira également les entreprises du champ situées dans les Dom hors Mayotte, ce qui représente 83 000 salariés supplémentaires.",NA,"Annuelle","60000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_TPE.pdf","2017-05-04","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
"10","2018-10-15","Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises (TPE) (2019A040TV)",2019,"Activité et conditions d'emploi de la main d'oeuvre (Acemo) - Enquête annuelle sur les petites entreprises (TPE)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2019A040TV","Reconduite par un nouvel avis d'opportunité (enquêtes annuelles ou infra-annuelles)","Enquête d'initiative nationale ou régionale","Partiellement défini par un règlement européen","Entreprise","Répétitive","L’enquête couvre les entreprises situées en France hors Mayotte.",NA,"Annuelle","60000","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","SSM Travail - Direction de l’animation de la recherche, des études et des statistiques (Dares)","2017-09-20","2018-01-01","2022-12-31","Entreprises","https://www.cnis.fr/wp-content/uploads/2017/09/AC_2017_dares_Acemo_TPE.pdf","2017-05-04","2018-01-01","2022-12-31","emploi-qualification-et-revenus-du-travail"
