"ID","Title","Statut.de.l.enquête","Numéro.de.VISA","Services.producteurs"
3949,"Enquêtes annuelles de branche exécutées par les organisations professionnelles agréées ou par un établissement public bénéficiant d'une délégation (IAA) (2016A)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2016A","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)"
7189,"Ressources et les conditions de vie des ménages (Enquête statistiques sur les) (2013A008EC)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013A008EC","Institut national de la statistique et des études économiques (Insee)"
50773,"Activité dans le bâtiment et les travaux publics (EMBTP) (Enquête mensuelle sur l’) (2022M047EQ)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2022M047EQ","SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)"
7157,"Cheminement scolaire et professionnel des anciens élèves étudiants ou apprentis diplômés enseignement agricole (Enquête sur le) (2013A722AG)","Enquête d'intérêt général et de qualité statistique","2013A722AG","Direction générale de l'enseignement et de la recherche (Dger)"
7212,"Enquêtes annuelles de branche exécutées par les organismes professionnels agréés (industrie hors IAA) (2013)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013","Institut national de la statistique et des études économiques (Insee)"
7138,"Effectifs d'élèves du second degré dans les établissements privés d'enseignement (Enquête sur les) (2013A084ED)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013A084ED","SSM Éducation - Direction de l'évaluation, de la prospective et de la performance (Depp)"
8055,"Prix des bois - prix du bois énergie sylvicole (Enquête) (2015T042AG)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2015T042AG","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)"
7205,"Enquêtes mensuelles de branche exécutées par les organismes professionnels agréés (industrie hors IAA) (2013M)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013M","Institut national de la statistique et des études économiques (Insee)"
7620,"Prix du transport ferroviaire de fret (Enquête trimestrielle sur les) (2014T710TR)","Enquête d'intérêt général et de qualité statistique","2014T710TR","Service de l'observation et des statistiques (SOeS)"
8051,"Enquêtes annuelles de branche exécutées par les organisations professionnelles agréées... (IAA) (2015A)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2015A","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)"
60560,"Recensement de la population (EAR) (Enquêtes annuelles de)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2025A001EC","Institut national de la statistique et des études économiques (Insee)"
7229,"Moyens consacrés à la recherche et au développement dans (R&D) dans les entreprises (Enquête annuelle sur les) (2013A037RE)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013A037RE",NA
7201,"Fréquentation dans l'hôtellerie (Enquête de) (2013M025EC)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013M025EC","Institut national de la statistique et des études économiques (Insee)"
49509,"Prix du transport ferroviaire de fret (Enquête trimestrielle sur les) (2022T705TR)","Enquête d'intérêt général et de qualité statistique","2022T705TR","SSM Énergie, logement, transport, environnement - Service des données et études statistiques (SDES)"
7171,"Entrée dans la vie adulte (EVA) (Enquête) (2013A023EC)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013A023EC","Institut national de la statistique et des études économiques (Insee)"
7254,"Enquête semestrielle de branche exécutée par les organismes professionnels agréés... (IAA) (2013)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)"
7213,"Enquêtes mensuelles de branche exécutées par l'administration (industrie hors IAA) (2013)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013","Institut national de la statistique et des études économiques (Insee)"
7192,"Fréquentation dans les autres hébergements collectifs touristiques (Enquête de) (2013M026EC)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013M026EC","Institut national de la statistique et des études économiques (Insee)"
7269,"Recensement de la conchyliculture (Enquête sur le) (2013X011AG)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013X011AG","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)"
7256,"Structure des exploitations agricoles en 2013 (ESEA 2013) (Enquête sur la) (2013X085AG)","Enquête d'intérêt général et de qualité statistique à caractère obligatoire","2013X085AG","SSM Agriculture et alimentation - Service de la statistique et de la prospective (SSP)"
